ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
8EB1-4_3,E,PSTR,BLUE,14,0,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_4,E,PSTR,BLUE,14,0,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_5,E,PSTR,BLUE,14,0,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_6,E,PSTR,BLUE,14,0,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EB1-4_8,E,PSTR,BLUE,14,0,8EB1-4,PSTRBLUE,,,,,,,,,,,,,,
8EN1-3_1,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_2,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_3,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_4,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_5,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_6,E,PSTR,NATURAL,14,0,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8EN1-3_8,E,PSTR,NATURAL,14,1,8EN1-3,PSTRNATURAL,,,,,,,,,,,,,,
8ES1-1_1,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8ES1-1_2,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8ES1-1_3,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8ES1-1_4,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
